Date,Open,High,Low,Close,Volume
11/2/2018 15:00:00,174.9,175.3,173.85,175.17,0
11/5/2018 15:00:00,174.61,175.75,174.53,175.45,0
11/6/2018 15:00:00,176,176.26,174.63,175.59,0
11/7/2018 15:00:00,175.96,176.51,175.08,176.24,0
11/8/2018 15:00:00,177.11,177.72,176.55,177.16,0
11/9/2018 15:00:00,176.36,176.47,175.05,175.45,0
11/12/2018 15:00:00,175.03,175.61,172.77,172.77,0
11/13/2018 15:00:00,172.36,174.88,172.01,174.4,0
11/14/2018 15:00:00,175.17,176.1,174.77,174.77,0
11/15/2018 15:00:00,175.55,177.92,175.5,177.83,0
11/16/2018 15:00:00,178.17,180.53,177.77,179.63,0
11/19/2018 15:00:00,179.89,179.98,178,178.63,0
11/21/2018 15:00:00,176.99,178.02,176,176.96,0
11/22/2018 15:00:00,176.43,177.65,176.43,177.52,0
11/23/2018 15:00:00,177.54,178.2,177.26,177.99,0
11/26/2018 15:00:00,177.96,178.25,176.87,177.81,0
11/27/2018 15:00:00,177.48,178,176.26,176.82,0
11/28/2018 15:00:00,176.98,177.19,175.12,175.12,0
11/29/2018 15:00:00,176.25,178.46,176.25,178.46,0
11/30/2018 15:00:00,178.86,179.48,177.91,178.22,0
12/3/2018 15:00:00,179.84,181.15,179.09,180.46,0
12/4/2018 15:00:00,180.61,181.39,180.24,181.39,0
12/5/2018 15:00:00,180.01,181.15,179.06,180.99,0
12/6/2018 15:00:00,180.03,181.23,179.45,180.16,0
12/7/2018 15:00:00,180,181.1,179.99,181.08,0
12/10/2018 15:00:00,180.51,181,179.26,180.68,0
12/11/2018 15:00:00,180.43,180.87,179.32,179.32,0
12/12/2018 15:00:00,180.03,180.84,179.75,180.74,0
12/13/2018 15:00:00,181.25,183.55,181.22,182.99,0
12/14/2018 15:00:00,183.39,183.59,182.42,182.78,0
12/17/2018 15:00:00,183.01,183.17,180.45,180.45,0
12/18/2018 15:00:00,179.93,180.48,178.77,180.48,0
12/19/2018 15:00:00,180.66,182.82,180.62,182.82,0
12/20/2018 15:00:00,182.35,182.66,181.3,182.46,0
12/21/2018 15:00:00,181.71,182.98,181.36,182.98,0
12/26/2018 15:00:00,181.94,182.09,180.43,181,0
12/27/2018 15:00:00,182.55,183.51,182.3,183.51,0
12/28/2018 15:00:00,183.69,184.33,183.05,184,0
1/2/2019 15:00:00,184.04,184.27,182.77,183.24,0
1/3/2019 15:00:00,183.3,185.21,183.3,185.21,0
1/4/2019 15:00:00,184.72,186.36,184.61,186.36,0
1/7/2019 15:00:00,187.42,188.75,186.95,186.95,0
1/8/2019 15:00:00,187.01,187.74,185.27,185.86,0
1/9/2019 15:00:00,186.49,187.31,185.46,185.58,0
1/10/2019 15:00:00,186.01,187.49,185.25,187.49,0
